text,class,cleaned_text,original_length,cleaned_length
Construction is expected to be completed in the summer of 2011 .,neutral,construction is expected to be completed in the summer of 2011,12,11
Currently more than 100 of Global Fortune 500 companies are using SSH security solutions .,neutral,currently more than 100 of global fortune 500 companies are using ssh security solutions,15,14
"DnB Nord of Norway is the `` most likely Nordic buyer '' for Citadele , while Nordea would be a `` good strategic fit '' , according to the document published by Pietiek .",neutral,dnb nord of norway is the most likely nordic buyer for citadele while nordea would be a good strategic fit according to the document published by pietiek,34,27
Dragonfly Love is another video shot from start to finish using the Nokia N8 .,neutral,dragonfly love is another video shot from start to finish using the nokia n8,15,14
"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services .",neutral,elcoteq electronics manufacturing services ems business segment serves customers globally in engineering manufacturing and fulfillment services,21,16
"Elisa Corporation , headquartered in Helsinki , is a Finnish telecomms company offering private and corporate customers a comprehensive range of telecomms services .",neutral,elisa corporation headquartered in helsinki is a finnish telecomms company offering private and corporate customers a comprehensive range of telecomms services,24,21
"Employees are also better prepared to answer calls , since they already have detailed information about the caller before they answer the phone . ''",positive,employees are also better prepared to answer calls since they already have detailed information about the caller before they answer the phone,25,22
"Entire paper mills may be set up , especially in the new EU member states .",neutral,entire paper mills may be set up especially in the new eu member states,16,14
"EQT has completed its exit from Salcomp , a Finnish company that makes mobile phone chargers , by selling its remaining stake to Swedish investment group Nordstjernan for about ( EURO ) 35 million ( $ 47 million ) .",neutral,eqt has completed its exit from salcomp a finnish company that makes mobile phone chargers by selling its remaining stake to swedish investment group nordstjernan for about euro 35 million 47 million,40,32
"Even so , Tulikivi emissions are well below some of the strictest state standards including Washington and Colorado .",neutral,even so tulikivi emissions are well below some of the strictest state standards including washington and colorado,19,17
Finnish consumers prefer to buy the cheapest beer brand .,neutral,finnish consumers prefer to buy the cheapest beer brand,10,9
"Finnish engineering and technology company Metso Oyj said on May 27 , 2008 it completed the acquisition of paper machinery technology from Japanese engineering company Mitsubishi Heavy Industries ( MHI ) for an undisclosed sum .",positive,finnish engineering and technology company metso company said on may 27 2008 it completed the acquisition of paper machinery technology from japanese engineering company mitsubishi heavy industries mhi for an undisclosed sum,36,32
"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .",neutral,following the registration the number of issued and outstanding shares of basware is 12890829,16,14
"Furthermore , our fully electrically driven cranes are environmentally friendly .",positive,furthermore our fully electrically driven cranes are environmentally friendly,11,9
"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass , in safety glass machines and Albat + Wirsam in software solutions .",neutral,glaston well known brands are bavelloni in pre processing machines and tools tamglass and uniglass in safety glass machines and albat wirsam in software solutions,29,25
"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass in safety glass machines and Albat + Wirsam in software solutions .",neutral,glaston well known brands are bavelloni in pre processing machines and tools tamglass and uniglass in safety glass machines and albat wirsam in software solutions,28,25
"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .",neutral,goodwill and other intangible assets account for some 2.0 million euro 2.6 million of the purchase price 20 percent of which payable in aspo shares,30,25
Gunneflo will be responsible of Oriola-KD 's Pharmaceutical Trade business in Sweden .,neutral,gunneflo will be responsible of oriola kd pharmaceutical trade business in sweden,13,12
"Harju Elekter was founded in 1968 , and is the leading producer of electrical equipment and materials in the Baltic States .",neutral,harju elekter was founded in 1968 and is the leading producer of electrical equipment and materials in the baltic states,22,20
He also mentions that this improvement to the service follows the recent expansion of the Finnlines service from Bilbao via Antwerp and Helsinki and from Hull via Helsinki to St. Petersburg .,positive,he also mentions that this improvement to the service follows the recent expansion of the finnlines service from bilbao via antwerp and helsinki and from hull via helsinki to st. petersburg,32,31
HELSINKI ( AFX ) - Outokumpu said it has agreed to sell the Hitura nickel mine in Finland to Canadian group Belvedere Resources Ltd for 10 mln eur worth of Belvedere shares .,neutral,helsinki afx outokumpu said it has agreed to sell the hitura nickel mine in finland to canadian group belvedere resources ltd for 10 million euro worth of belvedere shares,33,29
"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations .",neutral,honkarakenne mainly exports large luxury log houses to russia to be used as one family houses or holiday homes 70 of sales go to the moscow region about 20 to the st petersburg region and the remainder to other locations,45,40
However short-term rentals are becoming more popular .,neutral,however short term rentals are becoming more popular,8,8
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",neutral,huhtamaki company stock exchange release 16.12.2008 at 0930 huhtamaki company has resolved to clarify the group structure by separating the foodservice and consumer goods businesses in its production unit in hameenlinna finland by transferring the businesses into its wholly owned subsidiaries,43,41
"In addition , YIT has reserved EPI Russia the right to expand the logistics center by about 100,000 m2 .",neutral,in addition yit has reserved epi russia the right to expand the logistics center by about 100000 m2,20,18
"In addition to the presentations held by President & CEO Kai Telanne and CFO Tuomas Itkonen , participants will have an opportunity to discuss with other members of the company 's management .",neutral,in addition to the presentations held by president ceo kai telanne and cfo tuomas itkonen participants will have an opportunity to discuss with other members of the company management,33,29
"In Finland , 71 % of paper and paperboard is reclaimed .",neutral,in finland 71 of paper and paperboard is reclaimed,12,9
"In Finland , export industry forms a large clientele for the packaging industry .",neutral,in finland export industry forms a large clientele for the packaging industry,14,12
"In providing managed services , Nokia takes responsibility for building , operating and transferring as well as optimising the Indosat 3G network .",neutral,in providing managed services nokia takes responsibility for building operating and transferring as well as optimising the indosat 3g network,23,20
"In Switzerland , Teleste have been an established supplier of products for a long time and its primary customers include cable and fiber-to-the-home ( FTTH ) operators .",neutral,in switzerland teleste have been an established supplier of products for a long time and its primary customers include cable and fiber to the home ftth operators,28,27
"In the survey , Goodyear is the third most valued tyre brand , followed by Continental and Bridgestone .",neutral,in the survey goodyear is the third most valued tyre brand followed by continental and bridgestone,19,16
"In today s business , you have to pre-empt what consumers want , said Mohammed Zainalabedin , General Manager , Zain Bahrain .",neutral,in today business you have to pre empt what consumers want said mohammed zainalabedin general manager zain bahrain,23,18
Ingen is an established medical device manufacturer with an emerging new medical product line for the respiratory market worth an estimated $ 4 billion in the U.S. and $ 8 billion globally .,neutral,ingen is an established medical device manufacturer with an emerging new medical product line for the respiratory market worth an estimated billion in the u.s. and billion globally,33,28
Insurance policies should be simple .,neutral,insurance policies should be simple,6,5
"It is a member of the OneWorld alliance , which includes American Airlines and British Airways .",neutral,it is a member of the oneworld alliance which includes american airlines and british airways,17,15
"It is positive that the company it recruited Harri Koponen as CEO , according to Affarsvarlden .",neutral,it is positive that the company it recruited harri koponen as ceo according to affarsvarlden,17,15
"It is the first oil company to join RSPO and commits fully to sustainable sourcing of feedstocks for the production of its NExBTL biodiesel , it said .",neutral,it is the first oil company to join rspo and commits fully to sustainable sourcing of feedstocks for the production of its nexbtl biodiesel it said,28,26
It will provide heating in the form of hot water for the sawmill 's needs .,neutral,it will provide heating in the form of hot water for the sawmill needs,16,14
Its 168 asset management experts manage assets worth over EUR 35 billion .,neutral,its 168 asset management experts manage assets worth over euro 35 billion,13,12
Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .,neutral,its other well known brands include fitness equipment maker precor and u.s. based ball sports equipment maker wilson,19,18
Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .,neutral,juha haapakoski will continue as editor in chief with budget responsibility also with the new publisher,15,16
"Jun. 25 , 2008 ( Boy Genius Report delivered by Newstex ) -- The Nokia ( NYSE : NOK ) N78 , huh ?",neutral,jun 25 2008 boy genius report delivered by newstex the nokia nyse nok n78 huh,24,15
"Last July , the group said it intended to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of France , where it already operates a hook manufacturing and distribution unit .",neutral,last july the group said it intended to relocate warehouse and office space in loudeac and saint marcel to morvillars in the east of france where it already operates a hook manufacturing and distribution unit,39,35
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,lember said the matter was topical also in estonia where a bill has been drafted at the social affairs ministry that would scrap old age pensions on favorable conditions,30,29
"LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",neutral,lkab headquartered in lulea sweden is a high tech mining company producing upgraded iron ore products for the steel industry,23,20
( I&H ) in a move to enhance growth .,positive,ih in a move to enhance growth,10,7
LSC 's 30 employees will move to Ixonos with their existing status and benefits .,neutral,lsc 30 employees will move to ixonos with their existing status and benefits,15,13
Merging the two free sheets will clarify the market situation .,neutral,merging the two free sheets will clarify the market situation,11,10
"Metso is a global supplier of sustainable technology and services for mining , construction , power generation , automation , recycling and the pulp and paper industries .",neutral,metso is a global supplier of sustainable technology and services for mining construction power generation automation recycling and the pulp and paper industries,28,23
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,name of applicant jot automation oyname of inventor mammila tuomo piirainen mika and kellokoski mikaapplication no 2424 kolnp 2008 adate of filing of application 16 06 2008publication date 30012009,31,29
National sponsors for The Big Read include National Endowment for the Arts in cooperation with the Institute of Museum and Library Services and Arts Midwest .,neutral,national sponsors for the big read include national endowment for the arts in cooperation with the institute of museum and library services and arts midwest,26,25
"Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur .",neutral,neste oil extended yesterday gains and put on 0.49 percent to 22.72 euro while utility fortum shed 1.14 percent to 20.76 euro,25,22
"Of these shares 14,747,084 are held by the Company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161,256,847 .",neutral,of these shares 14747084 are held by the company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161256847,27,26
"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .",neutral,oka specialises in new construction renovation work of residential and non residential building as well as premises for industrial and logistical use,23,22
Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management .,neutral,okmetic board of directors has also decided on a new share ownership program directed to the company top management,21,19
Okmetic 's silicon wafers are part of a further processing chain that produces end products that improve human interaction and quality of life .,neutral,okmetic silicon wafers are part of a further processing chain that produces end products that improve human interaction and quality of life,24,22
"O'Leary 's Material Handling Services , located in Perth , is the leading company in Western Australia that supplies , installs and provides service for tail lifts .",positive,oleary material handling services located in perth is the leading company in western australia that supplies installs and provides service for tail lifts,28,23
Other shareholder entitlements became effective today .,neutral,other shareholder entitlements became effective today,7,6
Our Canned-preserved food in Finland report offers a comprehensive guide to the size and shape of the market at a national level .,neutral,our canned preserved food in finland report offers a comprehensive guide to the size and shape of the market at a national level,23,23
"Our solutions are industry-independent supporting multilingual and currency needs , modular and applicable to companies of all sizes , '' CEO Ilkka Sihvo said .",neutral,our solutions are industry independent supporting multilingual and currency needs modular and applicable to companies of all sizes ceo ilkka sihvo said,25,22
"Our strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors .",positive,our strong company brands esl shipping leipurin telko and kaukomarkkinat aim to be the market leaders in their sectors,24,19
"Outotec , headquartered in Espoo , Finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries .",neutral,outotec headquartered in espoo finland is a leading provider of process solutions technologies and services for the mining and metallurgical industries,26,21
"Panostaja , headquartered in Tampere , Finland , is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries .",neutral,panostaja headquartered in tampere finland is an investment company focusing on small and medium sized finnish companies operating in the traditional industries,25,22
Pertti Ervi is independent from the Company and its major shareholders .,neutral,pertti ervi is independent from the company and its major shareholders,12,11
"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) .",neutral,please inform ir johanna koskinen of your participation no later than 20 april at 10 a.m. a telephone conference for financial analysts and investors conducted in english will begin at 300 p.m. finnish time eet,40,35
"Poyry Energy GmbH is Austria 's leading engineering and consulting company in the energy , infrastructure and environment sector , owned by Poyry Plc. and the Austrian Verbund AG .",neutral,poyry energy gmbh is austria leading engineering and consulting company in the energy infrastructure and environment sector owned by poyry plc and the austrian verbund ag,30,26
Poyry is recognized as one of the world 's leading advisors to the global forestry industry .,positive,poyry is recognized as one of the world leading advisors to the global forestry industry,17,15
Precedex is approved for IV sedation of initially intubated and mechanically ventilated patients in intensive care .,positive,precedex is approved for iv sedation of initially intubated and mechanically ventilated patients in intensive care,17,16
Press release 3 September 2009 Ruukki continues to be listed in two Dow Jones Sustainability Indexes : DJSI World and DJSI STOXX .,neutral,press release september 2009 ruukki continues to be listed in two dow jones sustainability indexes djsi world and djsi stoxx,23,20
Production at the plant will be based on Neste Oil 's proprietary technology that can use a flexible input of any vegetable oil or animal fat .,neutral,production at the plant will be based on neste oil proprietary technology that can use a flexible input of any vegetable oil or animal fat,27,25
"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .",neutral,prothious engineering www.prothious.com employs more than 1000 and has a large portfolio of projects and an annual detailing capacity of more than 100000 tonnes,27,24
QPR product family is fully compatible with Microsoft 's Windows 7 operating system .,neutral,qpr product family is fully compatible with microsoft windows operating system,14,11
Ramirent is a leading company in machinery and equipment rentals for construction and industry .,positive,ramirent is a leading company in machinery and equipment rentals for construction and industry,15,14
Ramirent is the leading construction machinery rental company in Finland with annual sales of EUR 134 million in 2009 and operating nationwide through 83 outlets and 612 employees .,positive,ramirent is the leading construction machinery rental company in finland with annual sales of euro 134 million in 2009 and operating nationwide through 83 outlets and 612 employees,29,28
Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars .,neutral,rapala aims to move the distribution unit ragot from loudeac in bretagne and the distribution unit waterqueen and the fishing line supplier tortue from saint marcel in central france to morvillars,32,31
"RFID ( Radio Frequency Identification ) is a method of so-called intelligent transport , whereby information can be read and saved remotely .",neutral,rfid radio frequency identification is a method of so called intelligent transport whereby information can be read and saved remotely,23,20
"Russia 's top container shipping group , Fesco , and Finnish logistics company Nurminen Logistics have started a pilot project offering clients direct intermodal transportation service from Finland to Asia Pacific countries , Fesco said in a statement .",positive,russia top container shipping group fesco and finnish logistics company nurminen logistics have started a pilot project offering clients direct intermodal transportation service from finland to asia pacific countries fesco said in a statement,39,34
"S&P has kept its `` sell '' rating , while Nordea and UBS have reaffirmed their `` buy '' recommendations .",neutral,sp has kept its sell rating while nordea and ubs have reaffirmed their buy recommendations,21,15
"Sarantel , based in Wellingborough , UK , designs high-performance antennas for portable wireless devices .",neutral,sarantel based in wellingborough uk designs high performance antennas for portable wireless devices,16,13
Shares will be acquired in accordance with section 5 of the rules of NASDAQ OMX Helsinki and other rules applicable to the acquisition of own shares .,neutral,shares will be acquired in accordance with section of the rules of nasdaq omx helsinki and other rules applicable to the acquisition of own shares,27,25
South America and Asia are other promising markets .,neutral,south america and asia are other promising markets,9,8
Sponda plans to renovate old real estate and develop new property .,neutral,sponda plans to renovate old real estate and develop new property,12,11
Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .,neutral,stock exchange release 1032011 1200 sanoma has published its annual report and financial statements for 2010 and its first corporate responsibility report,23,22
"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",neutral,stockholm based nordea bank sto nda said yesterday it had hired casper von koskull to lead its corporate merchant banking and capital markets unit effective september,31,26
"Stonesoft is a global provider of proven , next generation solutions that simplify network security management .",neutral,stonesoft is a global provider of proven next generation solutions that simplify network security management,17,15
Strategic and operational business information is objectively reported .,neutral,strategic and operational business information is objectively reported,9,8
Symphony Services provides development services for Aldata GOLD .,neutral,symphony services provides development services for aldata gold,9,8
The adjustment measures will be carried out in phases to secure the delivery capability .,neutral,the adjustment measures will be carried out in phases to secure the delivery capability,15,14
"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .",neutral,the broker started upm kymmene stora enso and sappi with equal weight recommendations and holmen and norske skog with underweight ratings,25,21
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",neutral,the building complex consists of high quality office and retail space totalling 49200 square metres the company said,19,18
"The company designs , manufactures and markets high-quality clothing , interior decoration textiles , bags and other accessories .",neutral,the company designs manufactures and markets high quality clothing interior decoration textiles bags and other accessories,19,16
"The company has delivered the technical infrastructure , used by NAV for their data warehouse and business intelligence initiatives .",neutral,the company has delivered the technical infrastructure used by nav for their data warehouse and business intelligence initiatives,20,18
"The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment .",neutral,the company is now withdrawing the second part euro 7.2 million of the investment commitment,18,15
The company is studying the feasibility of focusing most of its processed meat production in the Vantaa facilities and the processing of fresh meat in the Forssa facilities .,neutral,the company is studying the feasibility of focusing most of its processed meat production in the vantaa facilities and the processing of fresh meat in the forssa facilities,29,28
The company said shareholders will be able to vote on the agreement at an EGM scheduled for later this month .,neutral,the company said shareholders will be able to vote on the agreement at an egm scheduled for later this month,21,20
"The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company , operating in Alma Media 's home sales , vehicle and consumer advertising marketplace businesses .",neutral,the cooperation will involve arena partners buying a 35 share of the new joint venture company operating in alma medium home sales vehicle and consumer advertising marketplace businesses,33,28
The deliveries started in April 2006 and will be completed in 2007 .,neutral,the deliveries started in april 2006 and will be completed in 2007,13,12
The desk will reach its full planned strength of ten persons in autumn 2007 .,neutral,the desk will reach its full planned strength of ten persons in autumn 2007,15,14
"The end-to-end delivery combines the competencies and services from TietoEnators Telecom & Media , Processing & Network and Digital Innovations Business Areas .",neutral,the end to end delivery combines the competencies and services from tietoenators telecom medium processing network and digital innovations business areas,23,21
The event can be followed on-line via Orion 's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live .,neutral,the event can be followed on line via orion finnish homepage at www.orion.fi as well as via the kauppalehti live web service at www.kauppalehti.filive,25,24
The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .,neutral,the extraordinary general meeting is expected to take place no later than 18 february 2011,16,15
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,the first installment of the cinema series concludes with a profile of finnish inventor olavi linden whose personal artistic journey and work at fiskars has led to dozens of design awards,33,31
The first of the two project phases is expected to be completed by the end of 2012 .,neutral,the first of the two project phases is expected to be completed by the end of 2012,18,17
"The group also plans to launch the 270 room Atria Grand , Whitefield , a five star luxury hotel , in 2009 .",neutral,the group also plans to launch the 270 room atrium grand whitefield a five star luxury hotel in 2009,23,19
"The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units .",neutral,the group owns and operates a fleet of more than 800dwt while container capacity is 17000 teus and manages a diversified fleet of its own railway rolling stock of over 17000 units,35,32
"The important thing now is to keep the bank 's existing 15,000 customers .",neutral,the important thing now is to keep the bank existing 15000 customers,14,12
The interchange of Editors-in-Chief is a part of publisher 's goal to enhance job circulation in all personnel groups .,neutral,the interchange of editors in chief is a part of publisher goal to enhance job circulation in all personnel groups,20,20
The joint venture is planning a quick timetable for negotiating the lease of the potential wind farm areas and for charting the feasibility of the wind farms .,neutral,the joint venture is planning a quick timetable for negotiating the lease of the potential wind farm areas and for charting the feasibility of the wind farms,28,27
The Kyroskoski investment is to be completed in late 2011 and the +ä+ñnekoski investment in the spring of 2012 .,neutral,the kyroskoski investment is to be completed in late 2011 and the äñnekoski investment in the spring of 2012,20,19
The new B shares carry the right to dividend and other shareholder rights with effect from today .,neutral,the new shares carry the right to dividend and other shareholder rights with effect from today,18,16
The objective of the St. Petersburg office is first to boost the Company 's maintenance business .,neutral,the objective of the st. petersburg office is first to boost the company maintenance business,17,15
The office space will rise above the remodeled Cannon Street underground station .,neutral,the office space will rise above the remodeled cannon street underground station,13,12
The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .,neutral,the plant would use palm oil certified by the roundtable on sustainable palm oil rspo,18,15
"The port operator , however , favors retaining the port fees in 2010 , citing the owner , the governemtn of Estonia , commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010 .",neutral,the port operator however favors retaining the port fees in 2010 citing the owner the governemtn of estonia commiting the port to pay eek 400mn euro 25.56 million usd 36.44 million in dividends to the state in 2009 and another eek 300mn in 2010,52,44
"The reason for this is St. Petersburg status as a capital , one of the participants in the meeting quoted Chikunov as saying .",neutral,the reason for this is st. petersburg status as a capital one of the participants in the meeting quoted chikunov as saying,24,22
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral,the report profiles 614 companies including many key and niche players worldwide such as black decker corporation fiskars corporation fiskars brands inc. husqvarna outdoor products inc. ks group ryobi technologies inc. the scotts miracle gro company and van group inc,51,40
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral,the report profiles 614 companies including many key and niche players worldwide such as black decker corporation fiskars corporation fiskars brands inc. husqvarna outdoor products inc. ks group ryobi technologies inc. the scotts miracle gro company and van group inc,51,40
"The Russian government will contribute 20 % of the necessary funds , he said .",neutral,the russian government will contribute 20 of the necessary funds he said,15,12
"The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings , the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.",neutral,the sale will allow campofrio to focus on its recently announced takeover of groupe smithfield holdings the european unit of smithfield foods inc. sfd of the u.s,30,27
"The scope of the project is to find the most cost-efficient method for phosphorous removal and to deliver the storing and dosing equipment , which can be used in continuous operation at the plants .",neutral,the scope of the project is to find the most cost efficient method for phosphorous removal and to deliver the storing and dosing equipment which can be used in continuous operation at the plants,35,34
The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,neutral,the server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones,23,22
The share of the share capital of both above mentioned shareholders remains below 5 % .,neutral,the share of the share capital of both above mentioned shareholders remains below,16,13
The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register .,neutral,the shares carry a right to dividend and other shareholder rights as from their registration with the finnish trade register,21,20
"The shares shall be repurchased through public trading , for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders .",neutral,the shares shall be repurchased through public trading for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders,27,25
The shipyard hopes the regional government in Andalusia can offer its some form of financial support .,neutral,the shipyard hopes the regional government in andalusia can offer its some form of financial support,17,16
The shopping center will have a prime location right next to the Myllypuro metro station .,positive,the shopping center will have a prime location right next to the myllypuro metro station,16,15
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral,the subsidiary is setting up a facility for manufacturing high density interconnection printed circuit boards or pcbs at nokia special economic zone at sriperumbudur near chennai,27,26
The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .,neutral,the total value of the project is valued at sek 30bn euro 2.83 bn usd 3.81 bn,20,17
The trade is in accordance with the agreement announced on 26 March 2008 .,neutral,the trade is in accordance with the agreement announced on 26 march 2008,14,13
The training modules aim at strengthening the public accounting abilities and fulfilling communal project management .,positive,the training modules aim at strengthening the public accounting abilities and fulfilling communal project management,16,15
The transaction is expected to be completed next spring .,neutral,the transaction is expected to be completed next spring,10,9
The veneer and plywood industry in Sweden is quite small despite the raw material resources .,neutral,the veneer and plywood industry in sweden is quite small despite the raw material resources,16,15
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",neutral,these products include personal communications products such as mobile phones and their parts home communications products such as set top boxes and electronics for flat panel tvs as well as communications networks products such as base stations tower top amplifiers and microwave systems,44,43
"They re in a race with Google to get lots of users onto their service as social networking creates new business models , said Martin Garner , a London-based analyst with CCS Insight .",neutral,they re in a race with google to get lots of users onto their service as social networking creates new business models said martin garner a london based analyst with ccs insight,34,32
This beauty is an updated version of her chichi loop shade launched in 2001 .,neutral,this beauty is an updated version of her chichi loop shade launched in 2001,15,14
"Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added .",neutral,thus the group balance sheet will have about eur25.8 of goodwill the company added,19,14
Tracker G400 is a GPS collar for hunting dogs allowing to monitor the dog 's position and movements with a map application for mobile phones .,neutral,tracker g400 is a gps collar for hunting dogs allowing to monitor the dog position and movements with a map application for mobile phones,26,24
Ulefos Group is the leading supplier of manhole covers in the Nordic countries .,neutral,ulefos group is the leading supplier of manhole covers in the nordic countries,14,13
UPM-Kymmene is one of the world 's leading printing paper producers with production in 15 countries and a sales network covering more than 170 companies .,positive,upm kymmene is one of the world leading printing paper producers with production in 15 countries and a sales network covering more than 170 companies,26,25
Uponor has initiated actions to attempt to recover the cost of the replacement program from the supplier of the clamps as well as its insurance company .,neutral,uponor has initiated actions to attempt to recover the cost of the replacement program from the supplier of the clamps as well as its insurance company,27,26
Uponor maintains its full-year guidance for 2010 .,neutral,uponor maintains its full year guidance for 2010,8,8
"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",neutral,utah capital wanted to be the next u.s. headquarters of amer sports corp. a ski equipment company,19,17
"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board .",positive,we warmly welcome him to satama states jussi lansio chairman of the board,17,13
Veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement .,neutral,veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement,19,18
"With the Basware Connectivity services , companies gain visibility to an audit trail that can be traced from order to goods delivery and invoice .",neutral,with the basware connectivity services companies gain visibility to an audit trail that can be traced from order to goods delivery and invoice,25,23
"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .",neutral,www.countryelements.co.uk designed by patricia burt this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes,26,24
Approval by shareholders of Cencorp in accordance with Finnish law .,neutral,approval by shareholders of cencorp in accordance with finnish law,11,10
"Tikkurila has an interesting growth strategy , which we support .",neutral,tikkurila has an interesting growth strategy which we support,11,9
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,assa abloy kaupthing bank gave a neutral recommendation and a share price target of 174 crowns 24.7 19 euro on swedish lock maker assa abloy ab,31,26
` The investment in Matka-Vekka has been reasonable for investors in CapMan funds . ',neutral,the investment in matka vekka has been reasonable for investors in capman funds,15,13
